;LR;Steps;Wall_Time
152;7.980102236615494e-05;8;1648152004.0999012
153;7.968139107106254e-05;8;1648152011.536386
154;7.963359530549496e-05;8;1648152014.5569375
155;7.949036080390215e-05;8;1648152023.597631
156;7.941883814055473e-05;8;1648152028.123393
157;7.929978164611384e-05;8;1648152035.6206913
158;7.918090705061331e-05;8;1648152043.156799
159;7.910966087365523e-05;8;1648152047.673107
160;7.908593397587538e-05;8;1648152049.173547
161;7.901477511040866e-05;8;1648152053.6893306
162;7.882533827796578e-05;8;1648152065.764038
163;7.86835589678958e-05;8;1648152074.7805367
164;7.840076432330534e-05;9;1648152131.3004584
165;7.825974898878485e-05;9;1648152140.3235803
166;7.804870256222785e-05;9;1648152153.8793144
167;7.797847501933575e-05;9;1648152158.3981965
168;7.774485857225955e-05;9;1648152173.4538345
169;7.765160989947617e-05;9;1648152179.5551863
170;7.755847036605701e-05;9;1648152185.5821118
171;7.75119406171143e-05;9;1648152188.5951812
172;7.746543997200206e-05;9;1648152191.5934525
173;7.744220056338236e-05;9;1648152193.0820248
174;7.73957435740158e-05;9;1648152196.1058688
175;7.714071398368105e-05;9;1648152212.6126516
176;7.711757643846795e-05;9;1648152214.1151028
177;7.709443889325485e-05;9;1648152215.618245
178;7.70481929066591e-05;9;1648152218.6141188
179;7.700196874793619e-05;9;1648152221.6188939
180;7.690960774198174e-05;9;1648152227.6377583
181;7.686347089475021e-05;9;1648152230.638703
182;7.670219929423183e-05;9;1648152241.1492777
183;7.667919271625578e-05;9;1648152242.668817
184;7.658721733605489e-05;9;1648152248.684816
185;7.647240272490308e-05;9;1648152256.0563426
186;7.640360126970336e-05;9;1648152260.5715575
187;7.633485802216455e-05;10;1648152303.8085728
188;7.628906314494088e-05;10;1648152306.5967004
189;7.622042176080868e-05;10;1648152311.1299376
190;7.612899935338646e-05;10;1648152317.1476889
191;7.6014875958208e-05;10;1648152324.6628444
192;7.58553869673051e-05;10;1648152335.2119443
193;7.574167102575302e-05;10;1648152342.752667
194;7.553741306765005e-05;10;1648152356.2785053
195;7.54015491111204e-05;10;1648152365.2980494
196;7.53111089579761e-05;10;1648152371.330798
197;7.522077794419602e-05;10;1648152377.3732932
198;7.517565245507285e-05;10;1648152380.3823006
199;7.504043605877087e-05;10;1648152389.4098673
200;7.470346463378519e-05;10;1648152412.0097752
201;7.463624933734536e-05;10;1648152416.5498426
202;7.445731171173975e-05;10;1648152428.5843883
203;7.430108962580562e-05;10;1648152439.239952
204;7.410071702906862e-05;10;1648152452.560416
205;7.407848897855729e-05;11;1648152492.7063599
206;7.39230599720031e-05;11;1648152503.2218952
207;7.383439515251666e-05;11;1648152509.230122
208;7.379009912256151e-05;11;1648152512.2379875
209;7.370159437414259e-05;11;1648152518.244127
210;7.350283703999594e-05;11;1648152531.6654415
211;7.332661334658042e-05;11;1648152543.6979907
212;7.319472933886573e-05;11;1648152552.6964016
213;7.312887464649975e-05;11;1648152557.1977255
214;7.284418097697198e-05;11;1648152576.7323618
215;7.282233127625659e-05;11;1648152578.2323875
216;7.271316280821338e-05;11;1648152585.7574267
217;7.266953616635874e-05;11;1648152588.7455454
218;7.256060052895918e-05;11;1648152596.2710361
219;7.23215052857995e-05;11;1648152612.780129
220;7.229981565615162e-05;11;1648152614.2860928
221;7.223476131912321e-05;11;1648152618.7729452
222;7.221309351734817e-05;11;1648152620.2629755
223;7.216977246571332e-05;11;1648152623.2655334
224;7.206157897599041e-05;11;1648152630.7844234
225;7.201835251180455e-05;11;1648152633.779998
226;7.199674291769043e-05;11;1648152635.3037949
227;7.197514787549153e-05;11;1648152636.7897937
228;7.186724542407319e-05;12;1648152682.863985
229;7.175951031967998e-05;12;1648152690.3966012
230;7.167343574110419e-05;12;1648152696.3936732
231;7.152305624913424e-05;12;1648152706.9332793
232;7.150159945013002e-05;12;1648152708.444434
233;7.126600394258276e-05;12;1648152725.0911796
234;7.118051871657372e-05;12;1648152731.106501
235;7.096726767485961e-05;12;1648152746.1251674
236;7.086087862262502e-05;12;1648152753.46935
237;7.073342567309737e-05;12;1648152762.467763
238;7.071220898069441e-05;12;1648152763.962362
239;7.043692312436178e-05;12;1648152783.4567814
240;7.022589852567762e-05;12;1648152798.4878917
241;6.99525116942823e-05;12;1648152818.0157542
242;6.986860535107553e-05;12;1648152823.821616
243;6.961749022593722e-05;13;1648152880.3724954
244;6.949227827135473e-05;13;1648152889.3796523
245;6.938810111023486e-05;13;1648152896.8658805
246;6.930487143108621e-05;13;1648152902.887079
247;6.91387103870511e-05;13;1648152914.903153
248;6.899364962009713e-05;13;1648152925.433675
249;6.876631232444197e-05;13;1648152941.9963048
250;6.839592242613435e-05;13;1648152969.124752
251;6.837540422566235e-05;13;1648152970.617706
252;6.82319441693835e-05;13;1648152981.1350455
253;6.788479367969558e-05;13;1648153006.5021617
254;6.786442827433348e-05;13;1648153008.0113292
255;6.772204505978152e-05;13;1648153017.9818563
256;6.764081626897678e-05;14;1648153063.9536705
257;6.719578959746286e-05;14;1648153097.0005126
258;6.715547351632267e-05;14;1648153100.0144663
259;6.7135326389689e-05;14;1648153101.5168905
260;6.709505396429449e-05;14;1648153104.5159335
261;6.705480336677283e-05;14;1648153107.5275815
262;6.701457459712401e-05;14;1648153110.5261505
263;6.699447112623602e-05;14;1648153112.026536
264;6.693419709336013e-05;14;1648153116.5233533
265;6.689404108328745e-05;14;1648153119.5322304
266;6.669363210676238e-05;14;1648153134.5465791
267;6.66336200083606e-05;14;1648153139.0661552
268;6.65537008899264e-05;14;1648153145.0541496
269;6.647386908298358e-05;14;1648153151.0613847
270;6.627471884712577e-05;14;1648153166.0899122
271;6.59177458146587e-05;14;1648153192.858423
272;6.587820098502561e-05;14;1648153195.785634
273;6.57794444123283e-05;14;1648153202.8391123
274;6.57005439279601e-05;15;1648153248.192377
275;6.568083335878327e-05;15;1648153249.7095625
276;6.558236782439053e-05;15;1648153257.23022
277;6.55233598081395e-05;15;1648153261.743254
278;6.55037074466236e-05;15;1648153263.247061
279;6.546440999954939e-05;15;1648153266.352968
280;6.540551112266257e-05;15;1648153270.7263224
281;6.528786616399884e-05;15;1648153279.7248282
282;6.522912735817954e-05;15;1648153284.2261825
283;6.517043948406354e-05;15;1648153288.7301533
284;6.507273792522028e-05;15;1648153296.2376077
285;6.497518916148692e-05;15;1648153303.7527103
286;6.493621185654774e-05;15;1648153306.7643735
287;6.458644929807633e-05;15;1648153333.788001
288;6.452833622461185e-05;15;1648153338.3188767
289;6.447028135880828e-05;15;1648153342.8224945
290;6.439295248128474e-05;15;1648153348.8517091
291;6.429641507565975e-05;15;1648153356.3714645
292;6.4238571212627e-05;15;1648153360.9010768
293;6.421929720090702e-05;15;1648153362.3998551
294;6.420003046514466e-05;15;1648153363.898961
295;6.408456101780757e-05;15;1648153372.920767
296;6.404611485777423e-05;15;1648153375.8981168
297;6.39884892734699e-05;15;1648153380.1250777
298;6.38925630482845e-05;15;1648153387.3565533
299;6.377764657372609e-05;15;1648153395.9435346
300;6.370114715537056e-05;16;1648153441.8265092
301;6.349124305415899e-05;16;1648153458.37002
302;6.341509288176894e-05;16;1648153464.3751132
303;6.337704689940438e-05;16;1648153467.3669348
304;6.335803482215852e-05;16;1648153468.8655586
305;6.305459828581661e-05;16;1648153492.717918
306;6.296007632045075e-05;16;1648153500.3077507
307;6.263974501052871e-05;16;1648153525.851628
308;6.256461347220466e-05;16;1648153531.8738277
309;6.247082637855783e-05;16;1648153539.3905401
310;6.237717025214806e-05;16;1648153546.9100895
311;6.230235158000141e-05;16;1648153552.9295104
312;6.228365964489058e-05;16;1648153554.4254825
313;6.226497498573735e-05;16;1648153555.928778
314;6.207843398442492e-05;16;1648153570.468068
315;6.205981480889022e-05;16;1648153571.9682176
316;6.198537448653951e-05;16;1648153577.5890596
317;6.18553240201436e-05;17;1648153627.786543
318;6.179967022035271e-05;17;1648153632.3008142
319;6.168851541588083e-05;17;1648153641.311321
320;6.165150261949748e-05;17;1648153644.3231106
321;6.163300713524222e-05;17;1648153645.8272767
322;6.159603799460456e-05;17;1648153648.8163958
323;6.152215064503253e-05;17;1648153654.8271117
324;6.148524698801339e-05;17;1648153657.844335
325;6.141149788163602e-05;17;1648153663.890579
326;6.135624425951391e-05;17;1648153668.383358
327;6.131943518994376e-05;17;1648153671.3721657
328;6.124588253442198e-05;17;1648153677.3840487
329;6.122751074144617e-05;17;1648153678.8801882
330;6.120913894847035e-05;17;1648153680.392013
331;6.117242446634918e-05;17;1648153683.4059188
332;6.113572453614324e-05;17;1648153686.427466
333;6.108071829658002e-05;17;1648153690.9147537
334;6.104407657403499e-05;17;1648153693.9198508
335;6.0970854974584654e-05;17;1648153699.9084482
336;6.086119174142368e-05;17;1648153708.96432
337;6.069706068956293e-05;17;1648153722.4740384
338;6.062425745767541e-05;17;1648153728.5085156
339;6.0533377109095454e-05;17;1648153735.9403596
340;6.051521631889045e-05;17;1648153737.4414413
341;6.0478912928374484e-05;17;1648153740.4650483
342;6.0406371630961075e-05;17;1648153746.48405
343;6.0352020227583125e-05;17;1648153750.816416
344;6.033391400706023e-05;17;1648153752.2345943
345;6.022539673722349e-05;17;1648153761.0295033
346;6.015315739205107e-05;17;1648153766.655709
347;6.009903518133797e-05;17;1648153770.9795094
348;6.006298281135969e-05;17;1648153773.7988086
349;6.0026948631275445e-05;18;1648153817.7260373
350;5.999093991704285e-05;18;1648153820.7049804
351;5.997294283588417e-05;18;1648153822.2237637
352;5.9739468269981444e-05;18;1648153841.804062
353;5.948905163677409e-05;18;1648153862.769575
354;5.934642831562087e-05;18;1648153874.7836928
355;5.9204143326496705e-05;18;1648153886.7854857
356;5.9186382713960484e-05;18;1648153888.298037
357;5.913313361816108e-05;18;1648153892.7824214
358;5.9115391195518896e-05;18;1648153894.2826295
359;5.9009063988924026e-05;18;1648153903.293597
360;5.899136158404872e-05;18;1648153904.7872584
361;5.8920602896250784e-05;18;1648153910.7738135
362;5.888525629416108e-05;18;1648153913.7858455
363;5.884993151994422e-05;18;1648153916.8111544
364;5.8796980738407e-05;18;1648153921.3101351
365;5.865601633558981e-05;18;1648153933.260556
366;5.862082980456762e-05;18;1648153936.0020995
367;5.8585661463439465e-05;18;1648153938.9376962
368;5.855051495018415e-05;18;1648153941.854018
369;5.848028740729205e-05;18;1648153947.488187
370;5.846274143550545e-05;18;1648153948.899539
371;5.8427671319805086e-05;18;1648153951.8204165
372;5.834007970406674e-05;18;1648153958.9417357
373;5.828759094583802e-05;18;1648153963.2104995
374;5.8252622693544254e-05;19;1648154006.8136384
375;5.821767626912333e-05;19;1648154009.7279015
376;5.8147845265921205e-05;19;1648154015.7634966
377;5.804326065117493e-05;19;1648154024.7842464
378;5.797364065074362e-05;19;1648154030.754608
379;5.779995262855664e-05;19;1648154045.845124
380;5.776527905254625e-05;19;1648154048.8553762
381;5.766137837781571e-05;19;1648154057.8767276
382;5.750588024966419e-05;19;1648154071.3910403
383;5.7282009947812185e-05;19;1648154090.947583
384;5.7247645600000396e-05;19;1648154093.9617903
385;5.71618256799411e-05;19;1648154101.458519
386;5.711039557354525e-05;19;1648154105.9602544
387;5.6905137171270326e-05;19;1648154123.6466973
388;5.6888064136728644e-05;19;1648154125.06707
389;5.687099837814458e-05;19;1648154126.5013812
390;5.685393625753932e-05;19;1648154127.9981272
391;5.671763210557401e-05;19;1648154139.5150385
392;5.6530741858296096e-05;20;1648154196.1446176
393;5.646293720928952e-05;20;1648154202.1510165
394;5.642906398861669e-05;20;1648154205.1333876
395;5.626000711345114e-05;20;1648154220.1417236
396;5.624312689178623e-05;20;1648154221.648003
397;5.6158813094953075e-05;20;1648154229.123682
398;5.610828520730138e-05;20;1648154233.4968116
399;5.6074626627378166e-05;20;1648154236.4841259
400;5.59401887585409e-05;20;1648154248.5254545
401;5.58730898774229e-05;20;1648154254.5540519
402;5.563888043980114e-05;20;1648154275.7211382
403;5.558882185141556e-05;20;1648154280.2043865
404;5.550548667088151e-05;20;1648154287.6963818
405;5.548883564188145e-05;20;1648154289.1954682
406;5.528940528165549e-05;20;1648154307.147433
407;5.510722257895395e-05;20;1648154322.7615964
408;5.497510574059561e-05;20;1648154334.2781184
409;5.492564014275558e-05;20;1648154338.4988456
410;5.4909163736738265e-05;20;1648154339.9177678
411;5.485975998453796e-05;21;1648154385.2878442
412;5.4843301768414676e-05;21;1648154386.7837238
413;5.479395986185409e-05;21;1648154391.3040586
414;5.471181793836877e-05;21;1648154398.8088782
415;5.4678996093571186e-05;21;1648154401.823161
416;5.4629799706162885e-05;21;1648154406.3443446
417;5.456427243188955e-05;21;1648154412.3316112
418;5.4547901527257636e-05;21;1648154413.829311
419;5.449882519314997e-05;21;1648154418.331235
420;5.440079985419288e-05;21;1648154427.3357902
421;5.436816354631446e-05;21;1648154430.3503027
422;5.428666190709919e-05;21;1648154437.8652592
423;5.42540947208181e-05;21;1648154440.8744948
424;5.4237818403635174e-05;21;1648154442.381537
425;5.410778248915449e-05;21;1648154454.3827283
426;5.404288458521478e-05;21;1648154460.393977
427;5.401046291808598e-05;21;1648154463.4126694
428;5.389714351622388e-05;21;1648154473.9611266
429;5.383249663282186e-05;21;1648154479.846932
430;5.362292722566053e-05;21;1648154498.929827
431;5.354253880796023e-05;21;1648154506.1821957
432;5.346227408153936e-05;21;1648154513.2221982
433;5.3414172725751996e-05;21;1648154517.4384642
434;5.339814742910676e-05;21;1648154518.939074
435;5.331810098141432e-05;21;1648154526.0492666
436;5.3302104788599536e-05;21;1648154527.4819548
437;5.319026968209073e-05;22;1648154579.1063004
438;5.2983199566369876e-05;22;1648154598.691968
439;5.2935531130060554e-05;22;1648154603.2218885
440;5.288790271151811e-05;22;1648154607.7383513
441;5.274527575238608e-05;22;1648154621.2738216
442;5.241397593636066e-05;22;1648154652.8078465
443;5.216295539867133e-05;22;1648154676.8792028
444;5.2037896239198744e-05;22;1648154688.228092
445;5.194429832044989e-05;22;1648154696.7697992
446;5.191313539398834e-05;22;1648154699.5909038
447;5.185086774872616e-05;22;1648154705.347849
448;5.141707879374735e-05;23;1648154787.922653
449;5.1263035857118666e-05;23;1648154802.927351
