;actor_loss;Steps;Wall_Time
1352;-45.331817626953125;3461120;1649630709.652693
1353;-42.649139404296875;3463680;1649630709.7117112
1354;-43.05022430419922;3466240;1649630709.771485
1355;-43.22407150268555;3468800;1649630709.8335137
1356;-44.15943908691406;3471360;1649630709.8968842
1357;-43.760032653808594;3473920;1649630709.953665
1358;-43.95222473144531;3476480;1649630710.0156488
1359;-46.5927734375;3479040;1649630710.0810857
1360;-47.76823806762695;3481600;1649630710.140057
1361;-48.16329574584961;3484160;1649630710.2076058
1362;-47.69775390625;3486720;1649630710.2719278
1363;-47.63874816894531;3489280;1649630710.3373244
1364;-53.24651336669922;3491840;1649630710.3963647
1365;-52.61023712158203;3494400;1649630710.45744
1366;-49.2929801940918;3496960;1649630710.520532
1367;-48.00737762451172;3499520;1649630710.582593
1368;-50.371360778808594;3502080;1649630710.638759
1369;-50.60542297363281;3504640;1649630710.7007198
1370;-51.93870162963867;3507200;1649630710.763471
1371;-52.180259704589844;3509760;1649630710.8301394
1372;-52.92544174194336;3512320;1649630710.8935664
1373;-50.93426513671875;3514880;1649630710.9618728
1374;-51.503517150878906;3517440;1649630711.0276988
1375;-52.75310134887695;3520000;1649630711.0880044
1376;-52.44153594970703;3522560;1649630711.1362603
1377;-54.58954620361328;3525120;1649630711.1889443
1378;-57.97018051147461;3527680;1649630711.245954
1379;-58.873287200927734;3530240;1649630711.313297
1380;-59.408607482910156;3532800;1649630711.3784745
1381;-59.2287712097168;3535360;1649630711.4460166
1382;-54.569740295410156;3537920;1649630711.5088277
1383;-50.71989440917969;3540480;1649630711.577912
1384;-50.85283660888672;3543040;1649630711.6477096
1385;-52.71535110473633;3545600;1649630711.710335
1386;-52.95851516723633;3548160;1649630711.7708995
1387;-49.463897705078125;3550720;1649630711.8267007
1388;-53.13809585571289;3553280;1649630711.8870149
1389;-56.75996017456055;3555840;1649630711.9463997
1390;-56.954627990722656;3558400;1649630712.0103378
1391;-54.38286590576172;3560960;1649630712.0710723
1392;-56.116886138916016;3563520;1649630712.1356597
1393;-56.01039123535156;3566080;1649630712.2011127
1394;-57.15693664550781;3568640;1649630712.2615044
1395;-56.31829833984375;3571200;1649630712.3294935
1396;-57.114532470703125;3573760;1649630712.3957772
1397;-54.93164825439453;3576320;1649630712.4578788
1398;-56.48833084106445;3578880;1649630712.5173037
1399;-59.22844696044922;3581440;1649630712.5854793
1400;-56.292293548583984;3584000;1649630712.956858
1401;-56.35266876220703;3586560;1649630713.028251
1402;-54.61712646484375;3589120;1649630713.0955737
1403;-51.486019134521484;3591680;1649630713.1641881
1404;-54.213340759277344;3594240;1649630713.2268374
1405;-55.91170883178711;3596800;1649630713.2877593
1406;-56.262535095214844;3599360;1649630713.350015
1407;-51.29864501953125;3601920;1649630713.4120498
1408;-52.89601135253906;3604480;1649630713.4815812
1409;-55.08233642578125;3607040;1649630713.5444608
1410;-55.510101318359375;3609600;1649630713.6076946
1411;-57.40308380126953;3612160;1649630713.6699765
1412;-57.486915588378906;3614720;1649630713.7279298
1413;-58.28791809082031;3617280;1649630713.7962227
1414;-59.73126983642578;3619840;1649630713.8602593
1415;-57.25432205200195;3622400;1649630713.9247336
1416;-62.94740676879883;3624960;1649630713.98311
1417;-59.138980865478516;3627520;1649630714.0399947
