;Epsilon;Steps;Wall_Time
449;0.1666666716337204;2;1648156032.1016088
450;0.1666666716337204;2;1648156040.490576
451;0.1666666716337204;2;1648156053.0751755
452;0.1666666716337204;2;1648156055.1714683
453;0.1666666716337204;2;1648156059.3683121
454;0.1666666716337204;2;1648156065.6601813
455;0.1666666716337204;2;1648156074.0632415
456;0.1666666716337204;2;1648156118.1451883
457;0.1666666716337204;2;1648156124.4525497
458;0.1666666716337204;2;1648156137.0765555
459;0.1666666716337204;2;1648156151.7857327
460;0.1666666716337204;2;1648156162.2784383
461;0.1666666716337204;2;1648156168.6036851
462;0.1666666716337204;2;1648156214.765255
463;0.1666666716337204;2;1648156229.4410253
464;0.1666666716337204;2;1648156256.7261047
465;0.1666666716337204;2;1648156267.1889622
466;0.1666666716337204;2;1648156290.2598152
467;0.1666666716337204;2;1648156309.1623392
468;0.1666666716337204;2;1648156319.6439416
469;0.1666666716337204;2;1648156325.946285
470;0.1666666716337204;2;1648156344.8495042
471;0.1666666716337204;2;1648156378.437538
472;0.1666666716337204;2;1648156391.0418987
473;0.1666666716337204;2;1648156422.5065136
474;0.1666666716337204;2;1648156435.0955927
475;0.1666666716337204;2;1648156437.1891105
476;0.1666666716337204;2;1648156466.5567737
477;0.1666666716337204;2;1648156468.6610782
478;0.1666666716337204;2;1648156508.5430198
479;0.1666666716337204;2;1648156512.7339737
480;0.1666666716337204;2;1648156521.1039617
481;0.1666666716337204;2;1648156523.2021055
482;0.1666666716337204;2;1648156563.1311705
483;0.1666666716337204;2;1648156565.2333918
484;0.1666666716337204;2;1648156611.4368336
485;0.1666666716337204;2;1648156630.3463583
486;0.1666666716337204;2;1648156661.853085
487;0.1666666716337204;2;1648156666.0549617
488;0.1666666716337204;2;1648156689.189927
489;0.1666666716337204;2;1648156731.1176028
490;0.1666666716337204;2;1648156743.6635373
491;0.1666666716337204;2;1648156760.4231837
492;0.1666666716337204;2;1648156762.5164077
493;0.1666666716337204;2;1648156764.617527
494;0.1666666716337204;2;1648156785.6058686
495;0.1666666716337204;2;1648156808.6873612
496;0.1666666716337204;2;1648156815.0813282
497;0.1666666716337204;2;1648156819.2834504
498;0.1666666716337204;2;1648156823.4807305
499;0.1666666716337204;2;1648156836.0702834
500;0.1666666716337204;2;1648156842.3704286
501;0.1666666716337204;2;1648156878.0721147
502;0.1666666716337204;2;1648156882.2775915
503;0.1666666716337204;2;1648156892.7835217
504;0.1666666716337204;2;1648156905.376954
505;0.1666666716337204;2;1648156917.9811795
506;0.1666666716337204;2;1648156947.3990602
507;0.1666666716337204;2;1648156955.7995176
508;0.1666666716337204;2;1648156972.583572
509;0.1666666716337204;2;1648156978.8750243
510;0.1666666716337204;2;1648156999.8143582
511;0.1666666716337204;2;1648157006.06393
512;0.1666666716337204;2;1648157012.360387
513;0.1666666716337204;2;1648157014.4591455
514;0.1666666716337204;2;1648157027.024687
515;0.1666666716337204;2;1648157037.4537277
516;0.1666666716337204;2;1648157043.7516932
517;0.1666666716337204;2;1648157058.4623604
518;0.1666666716337204;2;1648157071.0700421
519;0.1666666716337204;2;1648157079.475505
520;0.1666666716337204;2;1648157110.9836915
521;0.1666666716337204;2;1648157121.4593234
522;0.1666666716337204;2;1648157144.5216923
523;0.1666666716337204;2;1648157157.114461
524;0.1666666716337204;2;1648157161.3161843
525;0.1666666716337204;2;1648157171.8275628
526;0.1666666716337204;2;1648157173.9235692
527;0.1666666716337204;2;1648157176.0320644
528;0.1666666716337204;2;1648157182.3407345
529;0.1666666716337204;2;1648157186.5444832
530;0.1666666716337204;2;1648157188.645428
531;0.1666666716337204;2;1648157222.2389476
532;0.1666666716337204;2;1648157249.501279
533;0.1666666716337204;2;1648157264.1978204
534;0.1666666716337204;2;1648157272.6092925
535;0.1666666716337204;2;1648157276.8166354
536;0.1666666716337204;2;1648157295.7121255
537;0.1666666716337204;2;1648157302.0135274
538;0.1666666716337204;2;1648157308.3035848
539;0.1666666716337204;2;1648157329.2712872
540;0.1666666716337204;2;1648157369.1070385
541;0.1666666716337204;2;1648157371.1984382
542;0.1666666716337204;2;1648157383.7757673
543;0.1666666716337204;2;1648157387.9800134
544;0.1666666716337204;2;1648157396.382637
545;0.1666666716337204;2;1648157400.5824573
546;0.1666666716337204;2;1648157406.8929658
547;0.1666666716337204;2;1648157427.8843548
548;0.1666666716337204;2;1648157434.181827
549;0.1666666716337204;2;1648157440.480096
550;0.1666666716337204;2;1648157463.5948107
551;0.1666666716337204;2;1648157478.2839437
552;0.1666666716337204;2;1648157492.987755
553;0.1666666716337204;2;1648157499.2839212
554;0.1666666716337204;2;1648157505.5680451
555;0.1666666716337204;2;1648157511.8586183
556;0.1666666716337204;2;1648157518.1596186
557;0.1666666716337204;2;1648157524.4430687
558;0.1666666716337204;2;1648157528.6303356
559;0.1666666716337204;2;1648157530.734453
560;0.1666666716337204;2;1648157534.9348974
561;0.1666666716337204;2;1648157543.3332992
562;0.1666666716337204;2;1648157551.7236505
563;0.1666666716337204;2;1648157553.8252385
564;0.1666666716337204;2;1648157555.9242716
565;0.1666666716337204;2;1648157558.0337775
566;0.1666666716337204;2;1648157560.1352596
567;0.1666666716337204;2;1648157568.5337534
568;0.1666666716337204;2;1648157593.7359786
569;0.1666666716337204;2;1648157608.4368622
570;0.1666666716337204;2;1648157623.1516361
571;0.1666666716337204;2;1648157635.7358892
572;0.1666666716337204;2;1648157677.6704197
573;0.1666666716337204;2;1648157686.0412292
574;0.1666666716337204;2;1648157698.6155627
575;0.1666666716337204;2;1648157709.0979154
576;0.1666666716337204;2;1648157715.389308
577;0.1666666716337204;2;1648157740.5435202
578;0.1666666716337204;2;1648157746.8491309
579;0.1666666716337204;2;1648157757.3497787
580;0.1666666716337204;2;1648157830.8816645
581;0.1666666716337204;2;1648157839.2873428
582;0.1666666716337204;2;1648157849.7905805
583;0.1666666716337204;2;1648157872.8860397
584;0.1666666716337204;2;1648157896.004738
585;0.1666666716337204;2;1648157969.4379878
586;0.1666666716337204;2;1648157975.723261
587;0.1666666716337204;2;1648157979.9177828
588;0.1666666716337204;2;1648157992.4743001
589;0.1666666716337204;2;1648157994.5781765
590;0.1666666716337204;2;1648157996.677744
591;0.1666666716337204;2;1648157998.784861
592;0.1666666716337204;2;1648158000.8803904
593;0.1666666716337204;2;1648158005.0771537
594;0.1666666716337204;2;1648158026.0570462
595;0.1666666716337204;2;1648158028.1495214
596;0.1666666716337204;2;1648158034.422069
597;0.1666666716337204;2;1648158038.6034057
598;0.1666666716337204;2;1648158040.6941345
599;0.1666666716337204;2;1648158061.632599
600;0.1666666716337204;2;1648158067.9032183
601;0.1666666716337204;2;1648158074.150038
602;0.1666666716337204;2;1648158099.3323474
603;0.1666666716337204;2;1648158118.2482564
604;0.1666666716337204;2;1648158135.056075
605;0.125;3;1648158205.9116461
606;0.125;3;1648158214.3148458
607;0.125;3;1648158222.7156734
608;0.125;3;1648158266.7364218
609;0.125;3;1648158275.1320305
610;0.125;3;1648158302.3501244
611;0.125;3;1648158306.5592358
612;0.125;3;1648158312.8481607
613;0.125;3;1648158319.1469085
614;0.125;3;1648158325.40935
615;0.125;3;1648158329.5919206
616;0.125;3;1648158335.797874
617;0.125;3;1648158354.204303
618;0.125;3;1648158368.4279885
619;0.125;3;1648158382.4603643
620;0.125;3;1648158398.5826726
621;0.125;3;1648158437.881282
622;0.125;3;1648158439.9836478
623;0.125;3;1648158446.2899892
624;0.125;3;1648158450.4919746
625;0.125;3;1648158475.6978643
626;0.125;3;1648158488.291615
627;0.125;3;1648158511.3890166
628;0.125;3;1648158521.9058616
629;0.125;3;1648158534.4982677
630;0.125;3;1648158542.8921485
631;0.125;3;1648158557.5754
632;0.125;3;1648158559.680719
633;0.125;3;1648158563.88357
634;0.125;3;1648158568.084806
635;0.125;3;1648158576.4924712
636;0.125;3;1648158591.2057672
637;0.125;3;1648158593.3108308
638;0.125;3;1648158601.7108977
639;0.125;3;1648158626.895218
640;0.125;3;1648158631.0941527
641;0.125;3;1648158633.1968658
642;0.125;3;1648158652.0984871
643;0.125;3;1648158666.7763565
644;0.125;3;1648158670.961222
645;0.125;3;1648158687.7587686
646;0.125;3;1648158696.1596394
647;0.125;3;1648158706.6455293
648;0.125;3;1648158723.4222474
649;0.125;3;1648158729.712511
650;0.125;3;1648158740.1822815
651;0.125;3;1648158759.0819504
652;0.125;3;1648158792.6851668
653;0.125;3;1648158798.985552
654;0.125;3;1648158822.0868483
655;0.125;3;1648158859.872673
656;0.125;3;1648158864.0800173
657;0.125;3;1648158866.1826684
658;0.125;3;1648158887.1848752
659;0.125;3;1648158903.9988298
660;0.125;3;1648158929.1743824
661;0.125;3;1648158960.657894
662;0.125;3;1648158962.75881
663;0.125;3;1648158966.9511094
664;0.125;3;1648158969.0537808
665;0.125;3;1648158971.153809
666;0.125;3;1648158983.7396553
667;0.125;3;1648158990.043899
668;0.125;3;1648158992.1434946
669;0.125;3;1648159023.674349
670;0.125;3;1648159029.9768643
671;0.125;3;1648159046.7842245
672;0.125;3;1648159048.884574
673;0.125;3;1648159093.0372741
674;0.125;3;1648159113.9832637
675;0.125;3;1648159118.1787248
676;0.125;3;1648159149.6972883
677;0.125;3;1648159172.7874796
678;0.125;3;1648159195.8900428
679;0.125;3;1648159206.3965998
680;0.125;3;1648159229.519377
681;0.125;3;1648159252.5875227
682;0.125;3;1648159256.774527
683;0.125;3;1648159284.0310428
684;0.125;3;1648159305.0402713
685;0.125;3;1648159307.1442683
686;0.125;3;1648159309.2436197
687;0.125;3;1648159311.3409615
688;0.125;3;1648159315.544827
689;0.125;3;1648159321.8453836
690;0.125;3;1648159328.1280012
691;0.125;3;1648159336.4974852
692;0.125;3;1648159338.6019442
693;0.125;3;1648159353.3087778
694;0.125;3;1648159380.630654
695;0.125;3;1648159405.8025084
696;0.125;3;1648159407.8934908
697;0.125;3;1648159422.5536418
698;0.125;3;1648159426.7436352
699;0.125;3;1648159435.130986
700;0.125;3;1648159451.9465196
701;0.125;3;1648159483.4463565
702;0.125;3;1648159496.0479064
703;0.125;3;1648159502.353033
704;0.125;3;1648159506.5513353
705;0.125;3;1648159521.2634337
706;0.125;3;1648159538.0464623
707;0.125;3;1648159565.3423283
708;0.125;3;1648159632.5150332
709;0.125;3;1648159645.1244721
710;0.125;3;1648159647.2298985
711;0.125;3;1648159676.6422722
712;0.125;3;1648159678.7414887
713;0.125;3;1648159693.453753
714;0.125;3;1648159701.8410125
715;0.125;3;1648159706.0383298
716;0.125;3;1648159733.3069744
717;0.125;3;1648159752.1747365
718;0.125;3;1648159754.2787626
719;0.125;3;1648159762.6706233
720;0.125;3;1648159764.7769241
721;0.125;3;1648159775.2842073
722;0.125;3;1648159798.3993669
723;0.125;3;1648159800.4994621
724;0.125;3;1648159813.0970175
725;0.125;3;1648159815.19307
726;0.125;3;1648159819.386671
727;0.125;3;1648159821.4856565
728;0.125;3;1648159827.7822452
729;0.125;3;1648159834.0936637
730;0.125;3;1648159844.5869117
731;0.125;3;1648159869.8201747
732;0.125;3;1648159903.4248648
733;0.125;3;1648159911.833951
734;0.125;3;1648159928.6396296
735;0.125;3;1648159930.7490256
736;0.125;3;1648159947.5423224
737;0.125;3;1648159987.44622
738;0.125;3;1648159993.752432
739;0.125;3;1648160039.9891024
740;0.125;3;1648160042.0828185
741;0.125;3;1648160063.0932157
742;0.125;3;1648160065.1898558
743;0.125;3;1648160073.599906
