;update/loss/alpha;Steps;Wall_Time
309;-2.1631031036376953;933;1651416270.900036
310;-2.1648378372192383;934;1651416272.4312875
311;-2.167755126953125;936;1651416275.5781236
312;-2.169407844543457;937;1651416277.1310089
313;-2.1779873371124268;942;1651416284.9025683
314;-2.1841752529144287;945;1651416289.51712
315;-2.1859073638916016;946;1651416291.0723226
316;-2.1901557445526123;948;1651416294.2087002
317;-2.1943187713623047;950;1651416297.3415358
318;-2.1979711055755615;952;1651416300.4741979
319;-2.208650827407837;958;1651416309.7842865
320;-2.2150137424468994;961;1651416314.5225031
321;-2.23872447013855;973;1651416333.1748183
322;-2.243896722793579;976;1651416337.8530781
323;-2.2449874877929688;977;1651416339.389483
324;-2.254988431930542;983;1651416348.677521
325;-2.257110357284546;984;1651416350.3011372
326;-2.2637736797332764;988;1651416356.5252595
327;-2.265561819076538;989;1651416358.084171
328;-2.2689337730407715;991;1651416361.2094367
329;-2.2711033821105957;992;1651416362.7509108
330;-2.274303913116455;994;1651416365.843242
331;-2.2792603969573975;997;1651416370.5730312
332;-2.284006357192993;1000;1651416375.2212348
333;-2.2854998111724854;1001;1651416380.6965003
334;-2.2935006618499756;1005;1651416386.9066498
335;-2.299164295196533;1008;1651416391.6522284
336;-2.3051624298095703;1012;1651416397.8300877
337;-2.308675527572632;1014;1651416400.913283
338;-2.3160908222198486;1018;1651416407.0762749
339;-2.3297486305236816;1027;1651416421.0812826
340;-2.3430733680725098;1035;1651416433.5330064
341;-2.352560520172119;1040;1651416441.298937
342;-2.3545520305633545;1041;1651416442.850382
343;-2.358171224594116;1044;1651416447.5907896
344;-2.369313955307007;1050;1651416456.8883212
345;-2.37434983253479;1053;1651416461.5233884
346;-2.380817413330078;1057;1651416467.8337197
347;-2.382645845413208;1058;1651416469.3761134
348;-2.3856430053710938;1060;1651416472.4821346
349;-2.386692762374878;1061;1651416474.040413
350;-2.387916088104248;1062;1651416475.5922434
351;-2.3895204067230225;1063;1651416477.1417997
352;-2.3921852111816406;1065;1651416480.2226899
353;-2.4011895656585693;1070;1651416488.0299103
354;-2.4095771312713623;1076;1651416497.3986812
355;-2.413651466369629;1078;1651416500.524428
356;-2.4198110103607178;1081;1651416505.26522
357;-2.4211392402648926;1082;1651416506.8274448
358;-2.4260964393615723;1085;1651416511.5147634
359;-2.4276745319366455;1086;1651416513.0840492
360;-2.431548833847046;1088;1651416516.1579797
361;-2.439894199371338;1093;1651416524.0338917
362;-2.4444711208343506;1095;1651416527.1439838
363;-2.446420669555664;1096;1651416528.69613
364;-2.4488015174865723;1097;1651416530.244677
365;-2.4524550437927246;1099;1651416533.377774
366;-2.4553794860839844;1101;1651416540.4268243
367;-2.457134962081909;1102;1651416541.9848387
368;-2.461669683456421;1105;1651416546.6786911
369;-2.46509051322937;1107;1651416549.7828844
370;-2.4719302654266357;1111;1651416556.0331504
371;-2.473659038543701;1112;1651416557.5984106
372;-2.4808216094970703;1117;1651416565.4003358
373;-2.4825127124786377;1118;1651416566.9642997
374;-2.484365463256836;1119;1651416568.52133
375;-2.4947590827941895;1125;1651416577.7762258
376;-2.499284267425537;1128;1651416582.5092804
377;-2.5024611949920654;1130;1651416585.6130953
378;-2.510133743286133;1134;1651416591.807961
379;-2.524632215499878;1142;1651416604.24699
380;-2.5265936851501465;1143;1651416605.774254
381;-2.528046131134033;1144;1651416607.308091
382;-2.5295472145080566;1145;1651416608.8416314
383;-2.530796766281128;1146;1651416610.3763149
384;-2.5350027084350586;1149;1651416615.0427694
385;-2.544832468032837;1155;1651416624.4646807
386;-2.5466933250427246;1156;1651416626.0299933
387;-2.549159526824951;1158;1651416629.1195123
388;-2.566368579864502;1169;1651416646.1081302
389;-2.5757431983947754;1175;1651416655.3717892
390;-2.5785861015319824;1177;1651416658.5153236
391;-2.581571102142334;1179;1651416661.6214151
392;-2.587052345275879;1182;1651416666.2810545
393;-2.6008527278900146;1192;1651416681.8481858
394;-2.6077308654785156;1196;1651416688.066896
395;-2.6132774353027344;1200;1651416694.2700083
396;-2.61867094039917;1204;1651416704.6430216
397;-2.6234283447265625;1207;1651416709.3448837
398;-2.6253058910369873;1208;1651416710.9038985
399;-2.6321041584014893;1212;1651416717.0851943
400;-2.6356146335601807;1214;1651416720.2365062
401;-2.6438865661621094;1219;1651416728.0417793
402;-2.6473097801208496;1221;1651416731.1440878
403;-2.6503727436065674;1223;1651416734.254949
404;-2.656351089477539;1227;1651416740.487922
405;-2.6581709384918213;1228;1651416742.0434926
406;-2.6632401943206787;1231;1651416746.6740227
407;-2.6703062057495117;1236;1651416754.413105
408;-2.671808958053589;1238;1651416757.553151
409;-2.676046371459961;1242;1651416763.723849
410;-2.6834166049957275;1247;1651416771.4829626
411;-2.685718536376953;1249;1651416774.6832786
412;-2.6884045600891113;1251;1651416777.767808
413;-2.6962857246398926;1256;1651416785.5522745
414;-2.6991188526153564;1258;1651416788.6321874
415;-2.7084686756134033;1263;1651416796.4935362
416;-2.715853452682495;1267;1651416802.723802
417;-2.717175006866455;1268;1651416804.2568226
418;-2.7194015979766846;1270;1651416807.3369207
419;-2.727144718170166;1275;1651416815.1858292
420;-2.733428478240967;1279;1651416821.4645298
421;-2.736081600189209;1281;1651416824.5777137
422;-2.752253770828247;1292;1651416841.6708777
423;-2.753218650817871;1293;1651416843.2010846
424;-2.763796806335449;1300;1651416854.0380147
425;-2.7654941082000732;1301;1651416859.6331937
426;-2.7701687812805176;1304;1651416864.2642648
427;-2.7770509719848633;1310;1651416873.5878377
428;-2.7809956073760986;1313;1651416878.222319
429;-2.7870216369628906;1317;1651416884.3765073
430;-2.7933030128479004;1322;1651416892.136446
431;-2.8002448081970215;1326;1651416898.248617
432;-2.802555561065674;1328;1651416901.3038986
433;-2.8039166927337646;1329;1651416902.8509755
434;-2.805431365966797;1330;1651416904.396113
435;-2.807102680206299;1331;1651416905.9429219
436;-2.808281898498535;1332;1651416907.4791493
437;-2.8095428943634033;1333;1651416909.0838284
438;-2.8124802112579346;1335;1651416912.1647508
439;-2.813929796218872;1336;1651416913.7050347
440;-2.8151345252990723;1337;1651416915.25631
441;-2.8179547786712646;1339;1651416918.3588738
442;-2.820404052734375;1341;1651416921.437336
443;-2.8261969089508057;1344;1651416926.0890026
444;-2.8380110263824463;1351;1651416936.9485328
445;-2.8410940170288086;1353;1651416940.013481
446;-2.8425819873809814;1354;1651416941.5381408
447;-2.8465523719787598;1356;1651416944.6449003
448;-2.850368022918701;1358;1651416947.7699802
449;-2.8557357788085938;1362;1651416953.871989
450;-2.858994245529175;1364;1651416956.9389439
451;-2.8667633533477783;1370;1651416966.1821659
452;-2.870121955871582;1372;1651416969.2440422
453;-2.881072759628296;1381;1651416983.1701436
454;-2.890242099761963;1387;1651416992.3752222
455;-2.892080545425415;1388;1651416993.9219308
456;-2.8946733474731445;1390;1651416996.9932027
457;-2.8976314067840576;1392;1651417000.0697007
458;-2.898900032043457;1393;1651417001.6205115
459;-2.9042885303497314;1397;1651417007.8320756
460;-2.9121999740600586;1401;1651417018.092956
461;-2.913919448852539;1402;1651417019.6261706
462;-2.921513557434082;1407;1651417027.3951197
463;-2.9259603023529053;1410;1651417032.0277834
464;-2.9271695613861084;1411;1651417033.6151161
465;-2.929297685623169;1413;1651417036.6612465
466;-2.932415008544922;1416;1651417041.2928505
467;-2.940314531326294;1422;1651417050.6359744
468;-2.9444167613983154;1425;1651417055.2364428
469;-2.9491777420043945;1428;1651417059.8437576
470;-2.957366943359375;1433;1651417067.6690035
471;-2.9643378257751465;1438;1651417075.336974
472;-2.9677984714508057;1440;1651417078.4019985
473;-2.9712307453155518;1442;1651417081.566813
474;-2.9817426204681396;1450;1651417093.8823905
475;-2.992478370666504;1458;1651417106.2331517
476;-2.9946446418762207;1460;1651417109.2867212
477;-2.995513916015625;1461;1651417110.826332
478;-2.996782064437866;1462;1651417112.3735783
479;-2.9985837936401367;1464;1651417115.4759698
480;-3.000450372695923;1465;1651417117.0322504
481;-3.0049262046813965;1468;1651417121.6946688
482;-3.0099568367004395;1472;1651417127.9158392
483;-3.011812210083008;1473;1651417129.4403415
484;-3.013444423675537;1474;1651417130.9619136
485;-3.015977144241333;1476;1651417134.0698073
486;-3.0178158283233643;1477;1651417135.612393
487;-3.019315719604492;1478;1651417137.2265236
488;-3.0278122425079346;1484;1651417146.4597046
489;-3.0300393104553223;1486;1651417149.5174952
490;-3.033416509628296;1489;1651417154.1889155
491;-3.039341688156128;1493;1651417160.4013526
492;-3.0406272411346436;1494;1651417161.927592
493;-3.047330617904663;1500;1651417171.2325637
494;-3.0521116256713867;1504;1651417181.6831405
495;-3.068152666091919;1515;1651417198.8223057
496;-3.073404312133789;1519;1651417204.9667037
497;-3.076315402984619;1521;1651417208.076025
498;-3.0774683952331543;1522;1651417209.630284
499;-3.0878801345825195;1529;1651417220.5406797
500;-3.0988528728485107;1538;1651417234.5629675
501;-3.1026649475097656;1540;1651417237.6421745
502;-3.1040756702423096;1541;1651417239.1950433
503;-3.1068265438079834;1543;1651417242.293344
504;-3.1273856163024902;1560;1651417268.585693
505;-3.132796287536621;1564;1651417274.8132067
506;-3.13718581199646;1569;1651417282.4874468
507;-3.142082452774048;1572;1651417287.1165001
508;-3.144298553466797;1574;1651417290.2691882
509;-3.1488237380981445;1578;1651417296.399372
510;-3.149421453475952;1579;1651417297.9336472
511;-3.1510064601898193;1580;1651417299.455732
512;-3.1655707359313965;1590;1651417314.9327407
513;-3.167015552520752;1591;1651417316.486839
514;-3.1708223819732666;1595;1651417322.618899
515;-3.173832654953003;1598;1651417327.2815235
516;-3.176377296447754;1600;1651417330.3897848
517;-3.1793599128723145;1602;1651417337.7941194
518;-3.184067726135254;1605;1651417342.3746598
519;-3.1878960132598877;1608;1651417347.0279188
520;-3.1910314559936523;1611;1651417351.665758
521;-3.1932075023651123;1613;1651417354.7851112
522;-3.1939480304718018;1614;1651417356.3342984
523;-3.195326805114746;1615;1651417357.9078598
524;-3.196429491043091;1616;1651417359.4569674
525;-3.197455406188965;1617;1651417361.0097227
526;-3.19893217086792;1618;1651417362.5374177
527;-3.2027535438537598;1620;1651417365.617137
528;-3.205347776412964;1622;1651417368.7975135
529;-3.208007574081421;1626;1651417374.9244258
530;-3.210500717163086;1628;1651417377.972545
531;-3.211935043334961;1629;1651417379.506873
532;-3.2147629261016846;1631;1651417382.595424
533;-3.2202789783477783;1635;1651417388.7702932
534;-3.222015380859375;1636;1651417390.2933164
535;-3.2234508991241455;1637;1651417391.8251853
536;-3.2249529361724854;1639;1651417394.9177885
537;-3.2262861728668213;1641;1651417397.9920394
538;-3.2294464111328125;1644;1651417402.5979867
539;-3.2321057319641113;1646;1651417405.7502477
540;-3.238905668258667;1650;1651417411.9292
541;-3.2465274333953857;1656;1651417421.175884
542;-3.248232841491699;1659;1651417425.9345179
543;-3.2495341300964355;1660;1651417427.4631853
544;-3.2554359436035156;1665;1651417435.1279411
545;-3.2594854831695557;1669;1651417441.3442209
546;-3.261916399002075;1674;1651417449.1500032
547;-3.262800455093384;1675;1651417450.6803546
548;-3.2659080028533936;1677;1651417453.7494533
549;-3.2722411155700684;1681;1651417459.8863547
550;-3.2737858295440674;1682;1651417461.4372795
551;-3.276087522506714;1684;1651417464.5857437
552;-3.277164936065674;1685;1651417466.1330063
553;-3.2791929244995117;1687;1651417469.232178
554;-3.2822959423065186;1690;1651417473.8296833
555;-3.2836647033691406;1691;1651417475.347849
556;-3.285297393798828;1692;1651417476.8780096
557;-3.289051055908203;1695;1651417481.572161
558;-3.293663501739502;1698;1651417486.2188258
559;-3.2946460247039795;1699;1651417487.7688851
560;-3.295926094055176;1700;1651417489.309723
561;-3.2979230880737305;1702;1651417496.6144695
562;-3.299405097961426;1704;1651417499.6962059
563;-3.2998619079589844;1705;1651417501.249202
564;-3.3027143478393555;1707;1651417504.4320638
565;-3.3152682781219482;1718;1651417521.3296444
566;-3.321098804473877;1723;1651417529.065912
567;-3.322220802307129;1724;1651417530.6199114
568;-3.325437307357788;1727;1651417535.1915855
569;-3.3269479274749756;1728;1651417536.7257967
570;-3.3300538063049316;1732;1651417542.9468462
571;-3.3313796520233154;1733;1651417544.4694035
572;-3.3334908485412598;1735;1651417547.5453317
573;-3.338101387023926;1739;1651417553.7074769
574;-3.339491367340088;1740;1651417555.2297692
575;-3.3409500122070312;1741;1651417556.7885914
576;-3.3483500480651855;1748;1651417567.6117687
577;-3.3495054244995117;1749;1651417569.161139
578;-3.3514628410339355;1751;1651417572.2545574
579;-3.3525538444519043;1752;1651417573.7956073
580;-3.353583812713623;1753;1651417575.32013
581;-3.3564374446868896;1755;1651417578.4530199
582;-3.3601832389831543;1758;1651417583.0714073
583;-3.361341953277588;1759;1651417584.6196582
584;-3.3624188899993896;1760;1651417586.1661677
585;-3.3673977851867676;1764;1651417592.332232
586;-3.369985342025757;1766;1651417595.3756688
587;-3.3728115558624268;1768;1651417598.537229
588;-3.3781208992004395;1771;1651417603.1235054
589;-3.387519121170044;1779;1651417615.52226
590;-3.388481378555298;1781;1651417618.6068356
591;-3.390071392059326;1783;1651417621.659786
592;-3.3911190032958984;1785;1651417624.7689354
593;-3.3971099853515625;1789;1651417630.933669
594;-3.3989574909210205;1790;1651417632.480271
595;-3.401167392730713;1792;1651417635.607358
596;-3.403961420059204;1794;1651417638.6614883
597;-3.4062764644622803;1796;1651417641.763391
598;-3.4071872234344482;1797;1651417643.309839
599;-3.4099678993225098;1800;1651417647.9474857
600;-3.4120287895202637;1802;1651417655.3463073
601;-3.414202928543091;1804;1651417658.4814208
602;-3.4152040481567383;1805;1651417660.0045042
603;-3.4177181720733643;1808;1651417664.6789086
604;-3.425464391708374;1814;1651417673.9020386
605;-3.4301326274871826;1818;1651417680.1113083
606;-3.432649612426758;1820;1651417683.1690633
