;grad_norm_clipped;Steps;Wall_Time
497;1.0;12723200;1649682550.9121823
498;1.0;12748800;1649682551.0206616
499;1.0;12774400;1649682551.1264167
500;1.0;12800000;1649682555.9728975
501;1.0;12825600;1649682556.1148372
502;1.0;12851200;1649682556.238768
503;1.0;12876800;1649682556.3619902
504;1.0;12902400;1649682556.4840515
505;1.0;12928000;1649682556.6015925
506;1.0;12953600;1649682556.719487
507;1.0;12979200;1649682556.8409932
508;1.0;13004800;1649682556.956488
509;1.0;13030400;1649682557.0761743
510;1.0;13056000;1649682557.1989217
511;1.0;13081600;1649682557.3187487
512;1.0;13107200;1649682557.4413285
513;1.0;13132800;1649682557.561471
514;1.0;13158400;1649682557.6789088
515;1.0;13184000;1649682557.801302
516;1.0;13209600;1649682557.9180062
517;1.0;13235200;1649682558.0358381
518;1.0;13260800;1649682558.1517596
519;1.0;13286400;1649682558.2729049
520;1.0;13312000;1649682558.399664
521;1.0;13337600;1649682558.5234668
522;1.0;13363200;1649682558.6440663
523;1.0;13388800;1649682558.7695847
524;1.0;13414400;1649682558.8901906
525;1.0;13440000;1649682559.0133338
526;1.0;13465600;1649682559.1275332
527;1.0;13491200;1649682559.2552922
528;1.0;13516800;1649682559.380099
529;1.0;13542400;1649682559.498276
530;1.0;13568000;1649682559.6184528
531;1.0;13593600;1649682559.7451494
532;1.0;13619200;1649682559.861394
533;1.0;13644800;1649682559.9743707
534;1.0;13670400;1649682560.0945034
535;1.0;13696000;1649682560.2138598
536;1.0;13721600;1649682560.332772
537;1.0;13747200;1649682560.454292
538;1.0;13772800;1649682560.572157
539;1.0;13798400;1649682560.6873448
540;1.0;13824000;1649682560.8049204
541;1.0;13849600;1649682560.9242847
542;1.0;13875200;1649682561.0403109
543;1.0;13900800;1649682561.161515
544;1.0;13926400;1649682561.284126
545;1.0;13952000;1649682561.405442
546;1.0;13977600;1649682561.5219936
547;1.0;14003200;1649682561.6430671
548;1.0;14028800;1649682561.7559729
549;1.0;14054400;1649682561.8743403
550;1.0;14080000;1649682561.994969
551;1.0;14105600;1649682562.1148598
552;1.0;14131200;1649682562.2312593
553;1.0;14156800;1649682562.3503819
554;1.0;14182400;1649682562.4628363
555;1.0;14208000;1649682562.5798783
556;1.0;14233600;1649682562.7002623
557;1.0;14259200;1649682562.8175662
558;1.0;14284800;1649682562.9348662
559;1.0;14310400;1649682563.0566263
560;1.0;14336000;1649682563.1740184
561;1.0;14361600;1649682563.2916422
562;1.0;14387200;1649682563.403999
563;1.0;14412800;1649682563.518288
564;1.0;14438400;1649682563.6389194
565;1.0;14464000;1649682563.7591174
566;1.0;14489600;1649682563.881336
567;1.0;14515200;1649682563.996424
568;1.0;14540800;1649682564.11475
569;1.0;14566400;1649682564.2316394
570;1.0;14592000;1649682564.3502812
571;1.0;14617600;1649682564.4720485
572;1.0;14643200;1649682564.594394
573;1.0;14668800;1649682564.705325
574;1.0;14694400;1649682564.8252869
575;1.0;14720000;1649682564.9391074
576;1.0;14745600;1649682565.0599468
577;1.0;14771200;1649682565.1815145
578;1.0;14796800;1649682565.2972784
579;1.0;14822400;1649682565.4191403
580;1.0;14848000;1649682565.5437136
581;1.0;14873600;1649682565.6628141
582;1.0;14899200;1649682565.7768013
583;1.0;14924800;1649682565.899927
584;1.0;14950400;1649682566.0171192
585;1.0;14976000;1649682566.1348207
586;1.0;15001600;1649682566.256258
587;1.0;15027200;1649682566.3703806
588;1.0;15052800;1649682566.4969707
589;1.0;15078400;1649682566.6168034
590;1.0;15104000;1649682566.7405725
591;1.0;15129600;1649682566.859425
592;1.0;15155200;1649682566.9792707
593;1.0;15180800;1649682567.1005867
594;1.0;15206400;1649682567.2187622
595;1.0;15232000;1649682567.3460836
596;1.0;15257600;1649682567.472274
597;1.0;15283200;1649682567.6013222
598;1.0;15308800;1649682567.7261481
599;1.0;15334400;1649682567.8402689
600;1.0;15360000;1649682572.6748922
601;1.0;15385600;1649682572.80794
602;1.0;15411200;1649682572.9241898
603;1.0;15436800;1649682573.0347836
604;1.0;15462400;1649682573.144313
605;1.0;15488000;1649682573.2508502
606;1.0;15513600;1649682573.3563466
607;1.0;15539200;1649682573.4809377
608;1.0;15564800;1649682573.5886686
609;1.0;15590400;1649682573.7009664
610;1.0;15616000;1649682573.8148062
611;1.0;15641600;1649682573.9331086
612;1.0;15667200;1649682574.0405939
613;1.0;15692800;1649682574.147253
