;update/loss/actor;Steps;Wall_Time
202;-3.8014895915985107;623;1651415774.2543545
203;-3.802812337875366;626;1651415778.9550607
204;-3.8011889457702637;631;1651415786.763999
205;-3.800945997238159;632;1651415788.3420222
206;-3.8012969493865967;634;1651415791.46324
207;-3.797909736633301;639;1651415799.338021
208;-3.795100688934326;644;1651415807.127236
209;-3.7977278232574463;651;1651415818.1618793
210;-3.7995102405548096;653;1651415821.3098402
211;-3.7996346950531006;654;1651415822.8855464
212;-3.796376943588257;656;1651415826.039259
213;-3.7969956398010254;658;1651415829.1358237
214;-3.799683094024658;665;1651415840.1498287
215;-3.7970383167266846;667;1651415843.2588084
216;-3.797135829925537;668;1651415844.8066058
217;-3.79620361328125;669;1651415846.3624258
218;-3.796769142150879;670;1651415847.914093
219;-3.797915458679199;672;1651415851.1057696
220;-3.797365188598633;673;1651415852.6708856
221;-3.7948479652404785;679;1651415862.064233
222;-3.792518138885498;686;1651415873.0565228
223;-3.7926342487335205;687;1651415874.604657
224;-3.791452646255493;692;1651415882.4327757
225;-3.791045665740967;695;1651415887.189765
226;-3.788865804672241;696;1651415888.7512252
227;-3.787912607192993;700;1651415894.9717445
228;-3.7895164489746094;701;1651415900.084835
229;-3.784691572189331;705;1651415906.3282037
230;-3.7837307453155518;707;1651415909.4901967
231;-3.7822844982147217;708;1651415911.0498643
232;-3.782424211502075;710;1651415914.1857119
233;-3.7835376262664795;711;1651415915.7367887
234;-3.7827181816101074;712;1651415917.3002079
235;-3.782827615737915;714;1651415920.4349735
236;-3.782172918319702;716;1651415923.5797129
237;-3.7783989906311035;724;1651415936.0923522
238;-3.777871608734131;728;1651415942.3530838
239;-3.7765374183654785;729;1651415943.9206657
240;-3.7758381366729736;734;1651415951.769021
241;-3.7749316692352295;736;1651415954.900497
242;-3.772541046142578;741;1651415962.6763697
243;-3.7698440551757812;747;1651415972.1157322
244;-3.768399477005005;749;1651415975.2586498
245;-3.7640273571014404;753;1651415981.5462143
246;-3.768953800201416;755;1651415984.7451258
247;-3.7677741050720215;756;1651415986.3124597
248;-3.7684519290924072;758;1651415989.4255655
249;-3.764556407928467;760;1651415992.5617256
250;-3.7607126235961914;766;1651416001.929064
251;-3.760072946548462;769;1651416006.6414812
252;-3.757061243057251;772;1651416011.3232403
253;-3.755018472671509;774;1651416014.471536
254;-3.757230758666992;779;1651416022.3118358
255;-3.7559144496917725;782;1651416026.9763632
256;-3.754338026046753;783;1651416028.5517383
257;-3.7544257640838623;786;1651416033.1958594
258;-3.7500085830688477;794;1651416045.7697847
259;-3.7455692291259766;800;1651416055.1587784
260;-3.744199514389038;804;1651416065.1686237
261;-3.7432703971862793;805;1651416066.7343144
262;-3.7402303218841553;809;1651416072.9502223
263;-3.7323520183563232;812;1651416077.6065707
264;-3.733464241027832;813;1651416079.163004
265;-3.7319819927215576;816;1651416083.9203186
266;-3.7302134037017822;818;1651416087.0091028
267;-3.7283248901367188;824;1651416096.297943
268;-3.7272329330444336;827;1651416101.0543509
269;-3.7261760234832764;828;1651416102.5945578
270;-3.724879026412964;830;1651416105.7070343
271;-3.7183942794799805;835;1651416113.572078
272;-3.716184616088867;840;1651416121.4141273
273;-3.715292453765869;844;1651416127.6220438
274;-3.715289831161499;845;1651416129.1861427
275;-3.713273048400879;848;1651416133.8669767
276;-3.7134673595428467;850;1651416137.0177653
277;-3.7111241817474365;851;1651416138.644092
278;-3.7118136882781982;852;1651416140.1924915
279;-3.7100393772125244;853;1651416141.7508028
280;-3.705692768096924;855;1651416144.8508236
281;-3.701629877090454;861;1651416154.1952899
282;-3.7027909755706787;866;1651416162.1074395
283;-3.701101779937744;867;1651416163.6692421
284;-3.703599214553833;868;1651416165.244698
285;-3.701092004776001;870;1651416168.3605914
286;-3.698805332183838;872;1651416171.5098445
287;-3.6958203315734863;875;1651416176.2061548
288;-3.696207284927368;876;1651416177.8285527
289;-3.694178819656372;878;1651416180.9410722
290;-3.6909611225128174;883;1651416188.742178
291;-3.6905641555786133;885;1651416191.8695023
292;-3.689950466156006;886;1651416193.4533968
293;-3.6901462078094482;888;1651416196.6701655
294;-3.6854958534240723;890;1651416199.7945564
295;-3.6864798069000244;895;1651416207.6178257
296;-3.685392379760742;898;1651416212.255947
297;-3.6853084564208984;901;1651416220.8088055
298;-3.683311700820923;903;1651416223.968211
299;-3.6814095973968506;904;1651416225.5202
300;-3.682264566421509;905;1651416227.0649047
301;-3.6799702644348145;906;1651416228.6076016
302;-3.680121421813965;910;1651416234.851935
303;-3.6792993545532227;915;1651416242.696771
304;-3.676541328430176;922;1651416253.6096692
305;-3.6719906330108643;926;1651416259.9004135
306;-3.6713006496429443;927;1651416261.4385428
307;-3.6709487438201904;928;1651416262.9893968
308;-3.666232109069824;932;1651416269.339692
309;-3.666048765182495;933;1651416270.8999174
310;-3.665553331375122;934;1651416272.4311821
311;-3.6619534492492676;936;1651416275.578022
312;-3.6621153354644775;937;1651416277.130882
313;-3.658264398574829;942;1651416284.9024491
314;-3.658212900161743;945;1651416289.5170026
315;-3.656937837600708;946;1651416291.0722177
316;-3.6542747020721436;948;1651416294.2085726
317;-3.6522867679595947;950;1651416297.341418
318;-3.6510884761810303;952;1651416300.4740818
319;-3.647923231124878;958;1651416309.78417
320;-3.649165153503418;961;1651416314.5223994
321;-3.645794153213501;973;1651416333.1746972
322;-3.643123149871826;976;1651416337.8529484
323;-3.642507791519165;977;1651416339.3893824
324;-3.631988048553467;983;1651416348.6774135
325;-3.63106632232666;984;1651416350.301023
326;-3.623659133911133;988;1651416356.5251489
327;-3.622779607772827;989;1651416358.08406
328;-3.6181271076202393;991;1651416361.2093103
329;-3.6188392639160156;992;1651416362.7507923
330;-3.6142468452453613;994;1651416365.843121
331;-3.6132912635803223;997;1651416370.5729218
332;-3.6096630096435547;1000;1651416375.2211273
333;-3.6056394577026367;1001;1651416380.6963787
334;-3.60201358795166;1005;1651416386.9065316
335;-3.6001765727996826;1008;1651416391.652118
336;-3.5954749584198;1012;1651416397.82997
337;-3.5939364433288574;1014;1651416400.9131775
338;-3.5902481079101562;1018;1651416407.0761557
339;-3.576197624206543;1027;1651416421.081164
340;-3.5709896087646484;1035;1651416433.5329013
341;-3.5653152465820312;1040;1651416441.2988117
342;-3.5668060779571533;1041;1651416442.8502772
343;-3.559873104095459;1044;1651416447.5906692
344;-3.5582854747772217;1050;1651416456.8882008
345;-3.5545613765716553;1053;1651416461.5232835
346;-3.5482442378997803;1057;1651416467.8335903
347;-3.548675537109375;1058;1651416469.3759959
348;-3.5438554286956787;1060;1651416472.4820142
349;-3.5419507026672363;1061;1651416474.0402968
350;-3.5410313606262207;1062;1651416475.5921133
351;-3.5398383140563965;1063;1651416477.1416664
352;-3.53562068939209;1065;1651416480.2225683
353;-3.5300445556640625;1070;1651416488.0297992
354;-3.520279884338379;1076;1651416497.3985412
355;-3.518253803253174;1078;1651416500.524286
356;-3.5176303386688232;1081;1651416505.2651122
357;-3.5150644779205322;1082;1651416506.8273287
358;-3.512449264526367;1085;1651416511.5146415
359;-3.5113213062286377;1086;1651416513.0839329
360;-3.511605739593506;1088;1651416516.157844
361;-3.5074093341827393;1093;1651416524.0337803
362;-3.5067789554595947;1095;1651416527.1438644
363;-3.506390333175659;1096;1651416528.6960056
364;-3.5070724487304688;1097;1651416530.244554
365;-3.505608320236206;1099;1651416533.3776672
366;-3.503291368484497;1101;1651416540.4267032
367;-3.503108024597168;1102;1651416541.984728
368;-3.5000574588775635;1105;1651416546.6785707
369;-3.498150587081909;1107;1651416549.782779
370;-3.494982957839966;1111;1651416556.0330286
371;-3.493985891342163;1112;1651416557.5982816
372;-3.485100746154785;1117;1651416565.4002266
373;-3.482661008834839;1118;1651416566.9641905
374;-3.4828622341156006;1119;1651416568.5212247
375;-3.4806935787200928;1125;1651416577.7761214
376;-3.4773848056793213;1128;1651416582.5091603
377;-3.4746274948120117;1130;1651416585.6129856
378;-3.4693617820739746;1134;1651416591.8078403
379;-3.461578845977783;1142;1651416604.246866
380;-3.462540626525879;1143;1651416605.7741375
381;-3.4604744911193848;1144;1651416607.3079596
382;-3.4586007595062256;1145;1651416608.8415241
383;-3.4579670429229736;1146;1651416610.3762014
384;-3.4526360034942627;1149;1651416615.0426517
385;-3.4464871883392334;1155;1651416624.4645238
386;-3.446470260620117;1156;1651416626.0298822
387;-3.4435231685638428;1158;1651416629.119391
388;-3.4254119396209717;1169;1651416646.1080046
389;-3.419948101043701;1175;1651416655.3716843
390;-3.417633295059204;1177;1651416658.5152185
391;-3.4158127307891846;1179;1651416661.621304
392;-3.4144375324249268;1182;1651416666.2809343
393;-3.4009287357330322;1192;1651416681.848062
394;-3.3987889289855957;1196;1651416688.066771
395;-3.393277406692505;1200;1651416694.2698936
396;-3.3887393474578857;1204;1651416704.6429007
397;-3.384758472442627;1207;1651416709.344767
398;-3.3840279579162598;1208;1651416710.903771
399;-3.378286838531494;1212;1651416717.085072
400;-3.3756470680236816;1214;1651416720.2363932
401;-3.3739686012268066;1219;1651416728.0416663
402;-3.372511148452759;1221;1651416731.143962
403;-3.370938301086426;1223;1651416734.2548294
404;-3.3677685260772705;1227;1651416740.4878063
405;-3.367259979248047;1228;1651416742.0433772
406;-3.36667799949646;1231;1651416746.6739035
407;-3.3597028255462646;1236;1651416754.4129982
408;-3.3544604778289795;1238;1651416757.5530198
409;-3.3512277603149414;1242;1651416763.723722
410;-3.344757080078125;1247;1651416771.482829
411;-3.34137225151062;1249;1651416774.6831498
412;-3.33933424949646;1251;1651416777.7676966
413;-3.334632396697998;1256;1651416785.552141
414;-3.3309898376464844;1258;1651416788.6320767
415;-3.329784631729126;1263;1651416796.4934294
416;-3.3282036781311035;1267;1651416802.7236726
417;-3.327676773071289;1268;1651416804.2567148
418;-3.3242976665496826;1270;1651416807.3368156
419;-3.3184351921081543;1275;1651416815.1857314
420;-3.314990997314453;1279;1651416821.4644222
421;-3.3136305809020996;1281;1651416824.577603
422;-3.2983155250549316;1292;1651416841.6707633
423;-3.2959401607513428;1293;1651416843.2009792
424;-3.284567356109619;1300;1651416854.0378928
425;-3.2831037044525146;1301;1651416859.633083
426;-3.2811362743377686;1304;1651416864.264145
427;-3.2709391117095947;1310;1651416873.5877192
428;-3.2667629718780518;1313;1651416878.2222145
429;-3.2643280029296875;1317;1651416884.376398
430;-3.2550418376922607;1322;1651416892.1363292
431;-3.2511508464813232;1326;1651416898.2484932
432;-3.2460341453552246;1328;1651416901.3037813
433;-3.243501901626587;1329;1651416902.850864
434;-3.241520404815674;1330;1651416904.3960035
435;-3.2420730590820312;1331;1651416905.9428055
436;-3.2409603595733643;1332;1651416907.479035
437;-3.240201950073242;1333;1651416909.0837169
438;-3.2397305965423584;1335;1651416912.1646426
439;-3.238812208175659;1336;1651416913.7049317
440;-3.237168073654175;1337;1651416915.256199
441;-3.2354257106781006;1339;1651416918.3587337
442;-3.232522487640381;1341;1651416921.4372232
443;-3.230304718017578;1344;1651416926.0888722
444;-3.223933458328247;1351;1651416936.9484076
445;-3.222966432571411;1353;1651416940.0133703
446;-3.2200875282287598;1354;1651416941.5380375
447;-3.218801975250244;1356;1651416944.6447992
448;-3.21832275390625;1358;1651416947.7698627
449;-3.2126824855804443;1362;1651416953.8718848
450;-3.2118451595306396;1364;1651416956.9388435
451;-3.2062594890594482;1370;1651416966.182046
452;-3.20523738861084;1372;1651416969.2439215
453;-3.192660093307495;1381;1651416983.1700153
454;-3.189544200897217;1387;1651416992.3750994
455;-3.188408851623535;1388;1651416993.9217935
456;-3.1854045391082764;1390;1651416996.9930904
457;-3.184579849243164;1392;1651417000.0695643
458;-3.1831138134002686;1393;1651417001.6203792
459;-3.1805360317230225;1397;1651417007.8319697
460;-3.1795456409454346;1401;1651417018.0928307
461;-3.1787269115448;1402;1651417019.6260638
462;-3.1725070476531982;1407;1651417027.3950188
463;-3.168790578842163;1410;1651417032.0276706
464;-3.1673386096954346;1411;1651417033.6149921
