;Critic2LR;Steps;Wall_Time
153;9.999999747378752e-06;208000;1651184855.0005143
154;9.999999747378752e-06;208640;1651184856.507577
155;9.999999747378752e-06;209280;1651184857.6910956
156;9.999999747378752e-06;209920;1651184859.0294883
157;9.999999747378752e-06;210560;1651184860.1294632
158;9.999999747378752e-06;211200;1651184861.580425
159;9.999999747378752e-06;212480;1651184864.0377262
160;9.999999747378752e-06;213120;1651184865.5447443
161;9.999999747378752e-06;216320;1651184871.9436255
162;9.999999747378752e-06;216960;1651184873.2593896
163;9.999999747378752e-06;217600;1651184874.5694666
164;9.999999747378752e-06;218240;1651184875.8352919
165;9.999999747378752e-06;218880;1651184877.134612
166;9.999999747378752e-06;219520;1651184878.3188345
167;9.999999747378752e-06;220800;1651184880.9567676
168;9.999999747378752e-06;225280;1651184890.0875113
169;9.999999747378752e-06;225920;1651184891.3931146
170;9.999999747378752e-06;227200;1651184894.0665255
171;9.999999747378752e-06;227840;1651184895.187261
172;9.999999747378752e-06;230400;1651184900.3780456
173;9.999999747378752e-06;231040;1651184901.7049515
174;9.999999747378752e-06;232320;1651184904.3924232
175;9.999999747378752e-06;236800;1651184913.5743914
176;9.999999747378752e-06;238080;1651184916.1736455
177;9.999999747378752e-06;239360;1651184918.6936984
178;9.999999747378752e-06;240640;1651184921.3344128
179;9.999999747378752e-06;241920;1651184923.8269975
180;9.999999747378752e-06;243200;1651184926.4861622
181;9.999999747378752e-06;243840;1651184927.777504
182;9.999999747378752e-06;244480;1651184929.1173213
183;9.999999747378752e-06;247680;1651184935.6585538
184;9.999999747378752e-06;248320;1651184937.005021
185;9.999999747378752e-06;250240;1651184940.9989781
186;9.999999747378752e-06;250880;1651184942.1781573
187;9.999999747378752e-06;252800;1651184946.18442
188;9.999999747378752e-06;254720;1651184950.2194073
189;9.999999747378752e-06;256640;1651184996.0082967
190;9.999999747378752e-06;258560;1651184999.688006
191;9.999999747378752e-06;259200;1651185001.162751
192;9.999999747378752e-06;260480;1651185003.650794
193;9.999999747378752e-06;261120;1651185005.159173
194;9.999999747378752e-06;263040;1651185008.7813911
195;9.999999747378752e-06;263680;1651185010.2689152
196;9.999999747378752e-06;264320;1651185011.398055
197;9.999999747378752e-06;264960;1651185012.74085
198;9.999999747378752e-06;268160;1651185019.41235
199;9.999999747378752e-06;268800;1651185020.601174
200;9.999999747378752e-06;269440;1651185021.9070077
201;9.999999747378752e-06;271360;1651185025.7740567
202;9.999999747378752e-06;272000;1651185027.098891
203;9.999999747378752e-06;272640;1651185028.455898
204;9.999999747378752e-06;273280;1651185029.777353
205;9.999999747378752e-06;274560;1651185032.4549959
206;9.999999747378752e-06;277120;1651185037.6637473
207;9.999999747378752e-06;277760;1651185039.0055435
208;9.999999747378752e-06;279040;1651185041.6297894
209;9.999999747378752e-06;280320;1651185044.140372
210;9.999999747378752e-06;282880;1651185049.2275927
211;9.999999747378752e-06;283520;1651185050.5348916
212;9.999999747378752e-06;284160;1651185051.8876712
213;9.999999747378752e-06;285440;1651185054.568212
214;9.999999747378752e-06;287360;1651185058.3843327
215;9.999999747378752e-06;288000;1651185059.713114
216;9.999999747378752e-06;289920;1651185063.4906983
217;9.999999747378752e-06;290560;1651185064.9890232
218;9.999999747378752e-06;291840;1651185067.5066872
