;train/episode;Steps;Wall_Time
358;64.0;518400;1651233536.630115
359;64.0;519680;1651233538.2209513
360;64.0;522240;1651233541.2253752
361;64.0;523520;1651233542.6766486
362;64.0;524800;1651233544.1326737
363;64.0;526080;1651233545.6332603
364;64.0;527360;1651233547.2194648
365;64.0;528640;1651233548.8198955
366;64.0;529920;1651233550.4099867
367;64.0;531200;1651233551.9880292
368;64.0;532480;1651233553.591151
369;64.0;533760;1651233555.1907132
370;64.0;535040;1651233556.6386855
371;64.0;536320;1651233558.1864393
372;64.0;537600;1651233559.7866192
373;64.0;538880;1651233561.3942113
374;64.0;540160;1651233563.0067086
375;64.0;541440;1651233564.6207218
376;64.0;542720;1651233566.2121491
377;64.0;544000;1651233567.8153598
378;64.0;545280;1651233569.4240491
379;64.0;546560;1651233571.0220346
380;64.0;547840;1651233572.6276164
381;64.0;550400;1651233575.8444283
382;64.0;551680;1651233577.451737
383;64.0;552960;1651233579.0676484
384;64.0;554240;1651233580.668541
385;64.0;555520;1651233582.2321777
386;64.0;556800;1651233583.4712985
387;64.0;558080;1651233584.6528487
388;64.0;559360;1651233585.9985642
389;64.0;560640;1651233587.2592547
390;64.0;561920;1651233588.609542
391;64.0;563200;1651233589.921351
392;64.0;565760;1651233592.6300957
393;64.0;567040;1651233593.9833457
394;64.0;568320;1651233595.3292356
395;64.0;569600;1651233596.690393
396;64.0;570880;1651233598.031907
397;64.0;572160;1651233599.3921614
398;64.0;574720;1651233601.9376185
399;64.0;576000;1651233603.3910573
400;64.0;577280;1651233604.8796113
401;64.0;579840;1651233607.8932397
402;64.0;581120;1651233609.3391747
403;64.0;582400;1651233610.903711
404;64.0;583680;1651233612.3653378
405;64.0;584960;1651233613.8890827
406;64.0;587520;1651233616.818432
407;64.0;590080;1651233619.8432257
408;64.0;591360;1651233621.3852894
409;64.0;592640;1651233622.8333538
410;64.0;593920;1651233624.2851613
411;64.0;595200;1651233625.7829103
412;64.0;596480;1651233627.24402
413;64.0;597760;1651233628.8416572
414;64.0;599040;1651233630.2945352
415;64.0;600320;1651233631.752905
416;64.0;601600;1651233633.2605474
417;64.0;604160;1651233636.281034
418;64.0;606720;1651233639.4988127
419;64.0;608000;1651233641.1093478
420;64.0;609280;1651233642.7297604
421;64.0;610560;1651233644.3376195
422;64.0;611840;1651233645.945554
423;64.0;613120;1651233647.5614967
424;64.0;614400;1651233649.1691444
425;64.0;615680;1651233650.7776792
426;64.0;616960;1651233652.388374
427;64.0;618240;1651233653.9983425
428;64.0;619520;1651233655.6073117
429;64.0;620800;1651233657.1607676
430;64.0;622080;1651233658.7703898
431;64.0;624640;1651233661.9989338
432;64.0;625920;1651233663.608949
433;64.0;627200;1651233665.2071981
434;64.0;628480;1651233666.81547
435;64.0;629760;1651233668.427667
436;64.0;631040;1651233670.031104
437;64.0;632320;1651233671.6386583
438;64.0;633600;1651233673.2639081
439;64.0;634880;1651233674.8671532
440;64.0;636160;1651233676.475235
441;64.0;637440;1651233678.0840437
442;64.0;638720;1651233679.6854794
443;64.0;640000;1651233681.2916427
444;64.0;641280;1651233703.371175
445;64.0;642560;1651233704.9881363
446;64.0;643840;1651233706.5978274
447;64.0;645120;1651233708.1814117
448;64.0;646400;1651233709.52907
449;64.0;647680;1651233710.9995615
450;64.0;650240;1651233713.9371622
451;64.0;651520;1651233715.4367561
452;64.0;652800;1651233716.8981965
453;64.0;654080;1651233718.4860723
454;64.0;655360;1651233720.0872114
455;64.0;656640;1651233721.6852632
456;64.0;657920;1651233723.26992
457;64.0;659200;1651233724.8600655
458;64.0;661760;1651233728.0548573
459;64.0;663040;1651233729.653229
460;64.0;665600;1651233732.834473
461;64.0;666880;1651233734.4313679
462;64.0;668160;1651233736.0279
463;64.0;669440;1651233737.6218894
464;64.0;670720;1651233739.2205353
465;64.0;672000;1651233740.809208
466;64.0;674560;1651233743.9985118
467;64.0;675840;1651233745.5943296
468;64.0;677120;1651233747.0585954
469;64.0;679680;1651233750.0956023
470;64.0;680960;1651233751.6761472
471;64.0;682240;1651233753.0732121
472;64.0;683520;1651233754.4312034
473;64.0;684800;1651233755.7775931
474;64.0;686080;1651233757.1447737
475;64.0;687360;1651233758.3036828
476;64.0;688640;1651233759.588022
477;64.0;689920;1651233760.9516969
478;64.0;691200;1651233762.292191
479;64.0;692480;1651233763.6501207
480;64.0;693760;1651233764.9904294
481;64.0;696320;1651233767.5556676
482;64.0;697600;1651233768.7911558
483;64.0;698880;1651233770.1522934
484;64.0;700160;1651233771.4469705
485;64.0;701440;1651233772.5952456
486;64.0;702720;1651233774.1435723
487;64.0;704000;1651233775.5977087
488;64.0;705280;1651233777.085397
489;64.0;706560;1651233778.5776033
490;64.0;707840;1651233780.0980172
491;64.0;709120;1651233781.5519993
492;64.0;710400;1651233783.034517
493;64.0;711680;1651233784.5202396
494;64.0;712960;1651233785.9986117
495;64.0;715520;1651233789.0317602
496;64.0;716800;1651233790.476618
497;64.0;718080;1651233791.9419856
498;64.0;719360;1651233793.5100098
499;64.0;720640;1651233794.9639301
500;64.0;721920;1651233796.4317658
501;64.0;723200;1651233797.9964058
502;64.0;724480;1651233799.4511073
503;64.0;725760;1651233800.9095783
504;64.0;727040;1651233802.4763968
505;64.0;728320;1651233804.0442636
506;64.0;729600;1651233805.4983768
507;64.0;730880;1651233806.9957037
508;64.0;732160;1651233808.4486856
509;64.0;733440;1651233809.9016767
510;64.0;736000;1651233812.8610559
511;64.0;737280;1651233814.455791
512;64.0;738560;1651233815.906948
513;64.0;739840;1651233817.4864268
514;64.0;741120;1651233819.098178
515;64.0;742400;1651233820.7205644
516;64.0;743680;1651233822.323657
517;64.0;744960;1651233823.9327524
518;64.0;746240;1651233825.542591
519;64.0;747520;1651233827.1450493
520;64.0;748800;1651233828.7540145
521;64.0;750080;1651233830.3681762
522;64.0;751360;1651233831.9745789
523;64.0;752640;1651233833.580971
524;64.0;753920;1651233835.196968
525;64.0;755200;1651233836.7954504
526;64.0;756480;1651233838.4034953
527;64.0;757760;1651233840.0120668
528;64.0;760320;1651233843.2199745
529;64.0;761600;1651233844.8249507
530;64.0;762880;1651233846.4306192
531;64.0;764160;1651233848.0400288
532;64.0;765440;1651233849.6376169
533;64.0;766720;1651233851.2472546
534;64.0;768000;1651233852.854239
535;64.0;769280;1651233875.198414
536;64.0;771840;1651233878.3431365
537;64.0;776960;1651233884.6382573
538;64.0;778240;1651233886.2092896
539;64.0;779520;1651233887.7781196
540;64.0;780800;1651233889.3522902
541;64.0;782080;1651233890.924128
542;64.0;783360;1651233892.4851995
543;64.0;784640;1651233894.0622594
544;64.0;785920;1651233895.6323285
545;64.0;787200;1651233897.2117925
546;64.0;788480;1651233898.6721401
547;64.0;789760;1651233900.1234035
548;64.0;792320;1651233903.1424859
