;grad_norm_clipped;Steps;Wall_Time
360;1.0;184320000;1647958510.86733
361;1.0;184832000;1647958520.9355233
362;1.0;185344000;1647958530.987815
363;1.0;185856000;1647958541.0155537
364;1.0;186368000;1647958551.2514987
365;1.0;186880000;1647958561.4948065
366;1.0;187392000;1647958571.6334634
367;1.0;187904000;1647958581.6080906
368;1.0;188416000;1647958591.611186
369;1.0;188928000;1647958601.6696913
370;1.0;189440000;1647958611.7399063
371;1.0;189952000;1647958621.977473
372;1.0;190464000;1647958632.1982687
373;1.0;190976000;1647958642.2605731
374;1.0;191488000;1647958652.2383094
375;1.0;192000000;1647958662.2988548
376;1.0;192512000;1647958672.6555018
377;1.0;193024000;1647958683.1787758
378;1.0;193536000;1647958693.328651
379;1.0;194048000;1647958703.3627715
380;1.0;194560000;1647958713.3970344
381;1.0;195072000;1647958723.4586558
382;1.0;195584000;1647958733.5024633
383;1.0;196096000;1647958743.5153642
384;1.0;196608000;1647958753.5515745
385;1.0;197120000;1647958763.6154788
386;1.0;197632000;1647958773.6869962
387;1.0;198144000;1647958783.755729
388;1.0;198656000;1647958793.8346732
389;1.0;199168000;1647958803.907739
390;1.0;199680000;1647958813.9753098
391;1.0;200192000;1647958824.050248
392;1.0;200704000;1647958834.1176724
393;1.0;201216000;1647958844.1763375
394;1.0;201728000;1647958854.2302299
395;1.0;202240000;1647958864.28912
396;1.0;202752000;1647958874.3607345
397;1.0;203264000;1647958884.3340268
398;1.0;203776000;1647958892.6693335
399;1.0;204288000;1647958902.20945
400;1.0;204800000;1647958918.5677457
401;1.0;205312000;1647958927.4699318
402;1.0;205824000;1647958937.5133078
403;1.0;206336000;1647958947.5616188
404;1.0;206848000;1647958957.586609
405;1.0;207360000;1647958967.722662
406;1.0;207872000;1647958977.8680565
407;1.0;208384000;1647958987.8227477
408;1.0;208896000;1647958997.840532
409;1.0;209408000;1647959007.829055
410;1.0;209920000;1647959017.8506222
411;1.0;210432000;1647959027.833003
412;1.0;210944000;1647959037.8283896
413;1.0;211456000;1647959047.8160522
414;1.0;211968000;1647959057.7600543
415;1.0;212480000;1647959067.7985933
416;1.0;212992000;1647959077.8612773
417;1.0;213504000;1647959088.0595007
418;1.0;214016000;1647959098.1142795
419;1.0;214528000;1647959108.1738908
420;1.0;215040000;1647959118.2422698
421;1.0;215552000;1647959128.300512
422;1.0;216064000;1647959138.332375
423;1.0;216576000;1647959148.395885
424;1.0;217088000;1647959158.444028
425;1.0;217600000;1647959168.513876
426;1.0;218112000;1647959178.5746171
427;1.0;218624000;1647959188.6405325
428;1.0;219136000;1647959198.687932
429;1.0;219648000;1647959208.748051
430;1.0;220160000;1647959218.805547
431;1.0;220672000;1647959228.8447354
432;1.0;221184000;1647959238.91927
433;1.0;221696000;1647959248.9829226
434;1.0;222208000;1647959259.0467453
435;1.0;222720000;1647959269.102056
436;1.0;223232000;1647959279.1555092
437;1.0;223744000;1647959289.2144344
438;1.0;224256000;1647959299.27715
439;1.0;224768000;1647959309.354767
440;1.0;225280000;1647959319.4335983
441;1.0;225792000;1647959329.4880044
442;1.0;226304000;1647959339.5520866
443;1.0;226816000;1647959349.5984805
444;1.0;227328000;1647959359.6452007
445;1.0;227840000;1647959369.687422
446;1.0;228352000;1647959379.7405632
447;1.0;228864000;1647959389.1824265
448;1.0;229376000;1647959398.2607992
449;1.0;229888000;1647959407.7146053
450;1.0;230400000;1647959424.5104487
451;1.0;230912000;1647959433.6592908
452;1.0;231424000;1647959443.7370422
453;1.0;231936000;1647959453.8202665
454;1.0;232448000;1647959463.8463194
455;1.0;232960000;1647959473.8932006
456;1.0;233472000;1647959483.9273443
457;1.0;233984000;1647959493.9613173
458;1.0;234496000;1647959504.0086975
459;1.0;235008000;1647959514.0533862
460;1.0;235520000;1647959524.1177127
461;1.0;236032000;1647959534.1851113
462;1.0;236544000;1647959544.2239373
463;1.0;237056000;1647959554.2656195
464;1.0;237568000;1647959564.31502
465;1.0;238080000;1647959574.36198
466;1.0;238592000;1647959584.4274774
467;1.0;239104000;1647959594.4914007
468;1.0;239616000;1647959604.5533721
469;1.0;240128000;1647959614.5701628
470;1.0;240640000;1647959624.6224062
471;1.0;241152000;1647959634.6657689
472;1.0;241664000;1647959644.6296518
473;1.0;242176000;1647959654.6503122
474;1.0;242688000;1647959664.7179992
475;1.0;243200000;1647959674.789293
476;1.0;243712000;1647959684.8592803
477;1.0;244224000;1647959694.9246926
478;1.0;244736000;1647959704.981065
479;1.0;245248000;1647959715.049601
480;1.0;245760000;1647959725.0843697
481;1.0;246272000;1647959735.0767648
482;1.0;246784000;1647959745.257853
483;1.0;247296000;1647959755.287567
484;1.0;247808000;1647959765.3572686
485;1.0;248320000;1647959775.675691
486;1.0;248832000;1647959785.7026334
487;1.0;249344000;1647959795.6972976
488;1.0;249856000;1647959806.0055857
489;1.0;250368000;1647959816.0705123
490;1.0;250880000;1647959826.2888587
491;1.0;251392000;1647959836.3585563
492;1.0;251904000;1647959846.4147172
