;avg_cost;Steps;Wall_Time
8786;-25.303438186645508;112460800;1649682264.942616
8787;-25.639530181884766;112473600;1649682265.0696683
8788;-26.098358154296875;112486400;1649682265.2070668
8789;-25.310779571533203;112499200;1649682265.338358
8790;-25.67351531982422;112512000;1649682265.4887383
8791;-25.66781234741211;112524800;1649682265.632408
8792;-25.665937423706055;112537600;1649682265.7718794
8793;-25.586719512939453;112550400;1649682265.8920667
8794;-25.71515655517578;112563200;1649682266.0077722
8795;-26.114530563354492;112576000;1649682266.1335013
8796;-25.823516845703125;112588800;1649682266.260546
8797;-25.88163948059082;112601600;1649682266.3877192
8798;-25.440780639648438;112614400;1649682266.5210135
8799;-24.65398597717285;112627200;1649682266.6452825
8800;-26.00179672241211;112640000;1649682270.2816978
8801;-25.717342376708984;112652800;1649682270.4217558
8802;-26.129138946533203;112665600;1649682270.5478914
8803;-26.1785945892334;112678400;1649682270.6731277
8804;-25.783906936645508;112691200;1649682270.793559
8805;-25.682579040527344;112704000;1649682270.921971
8806;-25.43124771118164;112716800;1649682271.0419729
8807;-26.021404266357422;112729600;1649682271.163334
8808;-25.2296085357666;112742400;1649682271.2881098
8809;-25.58820343017578;112755200;1649682271.415135
8810;-25.77117156982422;112768000;1649682271.5449471
8811;-25.7217960357666;112780800;1649682271.667898
8812;-25.878280639648438;112793600;1649682271.7875845
8813;-25.75523567199707;112806400;1649682271.927164
8814;-25.686172485351562;112819200;1649682272.0580368
8815;-25.749921798706055;112832000;1649682272.1896484
8816;-25.211015701293945;112844800;1649682272.3119235
8817;-25.56851577758789;112857600;1649682272.4458559
8818;-25.870235443115234;112870400;1649682272.577261
8819;-25.86296844482422;112883200;1649682272.7019858
8820;-25.731170654296875;112896000;1649682272.8269434
8821;-25.758203506469727;112908800;1649682272.9630904
8822;-25.64617156982422;112921600;1649682273.0992403
8823;-26.12125015258789;112934400;1649682273.2254207
8824;-25.62273406982422;112947200;1649682273.3503482
8825;-26.272266387939453;112960000;1649682273.4800375
8826;-25.475078582763672;112972800;1649682273.6032665
8827;-25.923358917236328;112985600;1649682273.7313337
8828;-25.817501068115234;112998400;1649682273.860315
8829;-25.486719131469727;113011200;1649682273.9864664
8830;-25.686561584472656;113024000;1649682274.1141253
8831;-25.748123168945312;113036800;1649682274.2418103
8832;-25.309688568115234;113049600;1649682274.3805885
8833;-26.336875915527344;113062400;1649682274.51572
8834;-25.825000762939453;113075200;1649682274.639851
8835;-25.720233917236328;113088000;1649682274.777368
8836;-25.989686965942383;113100800;1649682274.9015634
8837;-25.780467987060547;113113600;1649682275.0307655
8838;-26.058826446533203;113126400;1649682275.1550577
8839;-25.152265548706055;113139200;1649682275.2843692
8840;-25.383438110351562;113152000;1649682275.4163823
8841;-25.935470581054688;113164800;1649682275.5429673
8842;-25.457500457763672;113177600;1649682275.6741667
8843;-25.496017456054688;113190400;1649682275.7984104
8844;-26.020702362060547;113203200;1649682275.9358284
8845;-25.37671661376953;113216000;1649682276.074152
8846;-25.55890655517578;113228800;1649682276.20949
8847;-25.49640655517578;113241600;1649682276.3438268
8848;-26.041717529296875;113254400;1649682276.4818876
8849;-25.807968139648438;113267200;1649682276.6199322
8850;-25.937030792236328;113280000;1649682276.7634919
8851;-26.098438262939453;113292800;1649682276.8976283
8852;-25.367109298706055;113305600;1649682277.037404
8853;-25.5546875;113318400;1649682277.1686115
8854;-25.788516998291016;113331200;1649682277.2995198
8855;-25.636484146118164;113344000;1649682277.4313042
8856;-26.129375457763672;113356800;1649682277.5799406
8857;-26.155078887939453;113369600;1649682277.7150817
8858;-25.840782165527344;113382400;1649682277.8530338
8859;-25.55242156982422;113395200;1649682277.9750884
8860;-25.363672256469727;113408000;1649682278.1037548
8861;-25.17992401123047;113420800;1649682278.2335427
8862;-25.656795501708984;113433600;1649682278.3575916
8863;-25.60367202758789;113446400;1649682278.481377
8864;-25.19499969482422;113459200;1649682278.6052892
8865;-25.23859405517578;113472000;1649682278.728864
8866;-25.538047790527344;113484800;1649682278.858947
8867;-26.039608001708984;113497600;1649682278.9891026
8868;-25.544689178466797;113510400;1649682279.121281
8869;-25.61507797241211;113523200;1649682279.2387483
8870;-26.16812515258789;113536000;1649682279.364227
8871;-25.476640701293945;113548800;1649682279.4945393
8872;-25.7215633392334;113561600;1649682279.6246078
8873;-25.530624389648438;113574400;1649682279.748632
8874;-25.561954498291016;113587200;1649682279.8779318
8875;-25.437732696533203;113600000;1649682280.007171
8876;-25.955312728881836;113612800;1649682280.1257124
8877;-25.952733993530273;113625600;1649682280.2629204
8878;-25.841796875;113638400;1649682280.3811553
8879;-25.578750610351562;113651200;1649682280.5700438
8880;-25.431640625;113664000;1649682280.703058
8881;-25.946170806884766;113676800;1649682280.83231
8882;-26.050079345703125;113689600;1649682280.9575825
8883;-25.874765396118164;113702400;1649682281.0853505
8884;-25.8504695892334;113715200;1649682281.2078402
8885;-26.15328025817871;113728000;1649682281.3386147
8886;-25.952890396118164;113740800;1649682281.4683292
8887;-25.95625114440918;113753600;1649682281.5959232
8888;-25.417266845703125;113766400;1649682281.7227495
8889;-25.728126525878906;113779200;1649682281.860436
8890;-25.218984603881836;113792000;1649682281.9924147
8891;-25.32828140258789;113804800;1649682282.1172242
8892;-26.069608688354492;113817600;1649682282.2512896
8893;-25.805782318115234;113830400;1649682282.3825939
8894;-25.616952896118164;113843200;1649682282.5195878
8895;-25.594453811645508;113856000;1649682282.650469
8896;-26.180702209472656;113868800;1649682282.782479
8897;-25.570703506469727;113881600;1649682282.9120939
8898;-26.24398422241211;113894400;1649682283.042945
8899;-25.766639709472656;113907200;1649682283.1734843
8900;-25.4578914642334;113920000;1649682287.0892584
8901;-25.666563034057617;113932800;1649682287.223092
8902;-25.66914176940918;113945600;1649682287.3574154
8903;-25.696483612060547;113958400;1649682287.4855072
8904;-25.965234756469727;113971200;1649682287.6158822
8905;-25.795156478881836;113984000;1649682287.742732
8906;-25.637813568115234;113996800;1649682287.8683233
8907;-25.751405715942383;114009600;1649682288.0071218
